"","OPCS","Prop_IP","Median Mean LOS","Median Median LOS","Admissions","class1","class2","class3","class4","class1_proportion","class2_proportion","class3_proportion","class4_proportion","class1_prop_dc","class2_prop_dc","class3_prop_dc","class4_prop_dc","class1_prop_bed","class2_prop_bed","class3_prop_bed","class4_prop_bed","class1_proportional_cost","class2_proportional_cost","class3_proportional_cost","class4_proportional_cost","value"
"70","B09",0.974025974025974,2.6875,2,15.4,0,0,12,3.4,0,0,4.8554912078586e-06,4.02343120106206e-06,0,0,1.26116654749574e-07,1.04504706521092e-07,0,0,1.27101941114805e-05,1.05321149540788e-05,0,0,0.0115463580922878,0.00956771939612558,2378
"71","B10",0.734573304157549,1.3371104815864,1,941.2,27.2,0,365.4,548.6,3.30096286174063e-05,0,0.000147849707279294,0.000649192457912543,8.76163665490455e-06,0,3.92432592844166e-05,0.000172313009069565,4.41375204176084e-05,0,0.00014521881998182,0.000637640509501092,0.0784968968521921,0,0.351586603910162,1.54377966491603,2378
"72","B12",0.185662769096274,8.15342465753425,2,1968.6,138.4,422.6,1407.6,0,0.000167960757376802,0.0011585918293231,0.000569549118681814,0,0.000136776698062718,0.000943484462038658,0.000463805052171006,0,0.00136945538069415,0.00175386171243426,0.000862176279277161,0,0.399410681042036,2.75513137013034,1.35438780422535,0,2378
"73","B14",0.800180659883997,1.57178982860354,1,4260.4,53.6,0,1555,2651.8,6.50483858048888e-05,0,0.00062919073568501,0.00313803966440481,1.2997925527144e-05,0,0.000125724477611681,0.000627041014999213,0.000102242391175203,0,0.000791343143484744,0.00394676213677295,0.123787078186703,0,1.19734997000858,5.97168948136236,1903
"74","B16",0.771058315334773,1.5,1,96.8,4.2,0,38.2,54.4,5.0970750070995e-06,0,1.54566470116832e-05,6.43748992169929e-05,1.16693293899038e-06,0,3.5386708061305e-06,1.47380978768926e-05,7.64561251064925e-06,0,1.78769643083291e-05,7.44552020101506e-05,0.00969973373851035,0,0.0294139992632332,0.122505433209938,1903
"75","B17",1,30.6666666666667,28,1.4,0,0.2,0.6,0,0,5.48316057417464e-07,2.4277456039293e-07,0,0,0,0,0,0,1.68150257608022e-05,7.44508651871652e-06,0,0,0,0,0,0
"76","B18",0.994860079954312,4.75853658536585,4,356.8,6.6,0,350.2,0,8.00968929687064e-06,0,0.000141699418416007,0,4.11691625767196e-08,0,7.28323681178793e-07,0,3.81143995565722e-05,0,0.000670816111774755,0,0,0,0,0,0
"77","B20",0.697478991596639,3.3,3,25.2,1.4,13.8,10,0,1.6990250023665e-06,3.7833807961805e-05,4.0462426732155e-06,0,5.13990757018437e-07,1.14455217363444e-05,1.22407341374587e-06,0,5.60678250780945e-06,8.70813445440201e-05,9.3131585562498e-06,0,0,0,0,0,0
"78","B22",0.99113025848961,4.69093406593407,3,805.4,16.2,0,789.2,0,1.96601464559552e-05,0,0.000319329471770167,0,1.74380417120737e-07,0,2.83236987125083e-06,0,9.22244507514932e-05,0,0.00148466703706703,0,0.0808032019339759,0,1.31244412897539,0,4110
"79","B23",0.363636363636364,2,2,4.4,0,2,2.4,0,0,5.48316057417464e-06,9.7109824157172e-07,0,0,3.4892840017475e-06,6.17971608272913e-07,0,0,3.98775314485428e-06,7.06253266597615e-07,0,0,0.0225357899598578,0.00399121377285977,0,4110
"80","B25",0.527808069792803,6.76068376068376,2,209.4,26,183.4,0,0,3.15533214725207e-05,0.000502805824651815,0,0,1.48992237705578e-05,0.000237420852861762,0,0,0.000213322028074905,0.00179418386911053,0,0,0.12968415125206,2.06653193931896,0,0,4110
"81","B27",0.862407095818058,2.32235369363607,1,18006.8,58.2,0,17948.6,0,7.06308965269502e-05,0,0.00726243912444757,0,9.7183101781173e-06,0,0.000999260090577301,0,0.00016402992343419,0,0.0145453169632126,0,0.211892689580851,0,21.7873173733427,0,3000
"82","B28",0.225829858411666,1.08367127369031,1,42544.8,97.8,42447,0,0,0.000118689032308174,0.116371858445996,0,0,9.18855049470014e-05,0.0900916181300339,0,0,0.000128619894814469,0.0284791414960856,0,0,0.356067096924522,349.115575337987,0,0,3000
"83","B29",0.697016892296634,2.84937545922116,2,1695.8,26.4,0,0,1669.4,3.20387571874826e-05,0,0,0.00197550471972147,9.70720221961703e-06,0,0,0.000598544559263879,9.12904484739584e-05,0,0,0.00392347648953309,0.168908327892408,0,0,10.4148608823716,5272
"84","B30",0.532738719832109,1.78426204819277,1,4104,292,0,3096.8,715.2,0.000354368071922156,0,0.00125304043104138,0.000846340586764584,0.000165582478936974,0,0.00058549727591052,0.000395462186029663,0.000632285501821948,0,0.00119107191723085,0.00080448521878117,0,0,0,0,0
"85","B31",0.713952185282032,1.30578512396694,1,4299.4,16.2,0,0,4283.2,1.96601464559552e-05,0,0,0.00506857662364383,5.62374193076119e-06,0,0,0.00144985526692389,2.56719267771977e-05,0,0,0.00472527251538636,0.0589804393678656,0,0,15.2057298709315,3000
"86","B33",0.816841415465269,2.04359823399558,1,1997.6,1387.2,0,610.4,0,0.00168349105948772,0,0.000246982652773074,0,0.000308345839532646,0,4.52369930865493e-05,0,0.00344037935611646,0,0.000412287073851656,0,1.89897791510215,0,0.278596432328028,0,1128
"87","B34",0.0834104224483503,0.825825825825826,1,2600,5.6,0,2594.4,0,6.796100009466e-06,0,0.00104975719913903,0,6.2292344366752e-06,0,0.000962196507690646,0,5.61239490271216e-06,0,7.23098803252416e-05,0,0,0,0,0,0
"88","B35",0.0825575267872826,1.18439716312057,1,1175.6,37,0,1138.6,0,4.49028036339718e-05,0,0.000460705190772317,0,4.1195739220136e-05,0,0.000422670509644091,0,5.31827532402361e-05,0,4.50481684284659e-05,0,0,0,0,0,0
